# HSK COORS  :  [0.0, 0.23401070363498697, 0.36911684621020824, 0.6393291316493259]
# HSK SYMBOL :  ['Γ', 'M', 'K', 'Γ']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.57382312    -19.03881900    0.000000    0.000000    -19.03881900    0.000000    0.000000  
  0.57655254    -19.07641200    0.000000    0.000000    -19.07641100    0.000000    0.000000  
  0.57928196    -19.11240200    0.000000    0.000000    -19.11240200    0.000000    0.000000  
  0.58201137    -19.14682300    0.000000    0.000000    -19.14682300    0.000000    0.000000  
  0.58474079    -19.17964900    0.000000    0.000000    -19.17964900    0.000000    0.000000  
  0.58747021    -19.21089500    0.000000    0.000000    -19.21089500    0.000000    0.000000  
  0.59019963    -19.24054500    0.000000    0.000000    -19.24054500    0.000000    0.000000  
  0.59292904    -19.26860200    0.000000    0.000000    -19.26860200    0.000000    0.000000  
  0.59565846    -19.29506400    0.000000    0.000000    -19.29506400    0.000000    0.000000  
  0.59838788    -19.31990100    0.000000    0.000000    -19.31990100    0.000000    0.000000  
  0.60111729    -19.34316900    0.000000    0.000000    -19.34316900    0.000000    0.000000  
  0.60384671    -19.36484300    0.000000    0.000000    -19.36484300    0.000000    0.000000  
  0.60657613    -19.38491100    0.000000    0.000000    -19.38491100    0.000000    0.000000  
  0.60930554    -19.40337800    0.000000    0.000000    -19.40337800    0.000000    0.000000  
  0.61203496    -19.42024100    0.000000    0.000000    -19.42024100    0.000000    0.000000  
  0.61476438    -19.43550100    0.000000    0.000000    -19.43550100    0.000000    0.000000  
  0.61749379    -19.44915700    0.000000    0.000000    -19.44915700    0.000000    0.000000  
  0.62022322    -19.46121000    0.000000    0.000000    -19.46120900    0.000000    0.000000  
  0.62295263    -19.47165500    0.000000    0.000000    -19.47165400    0.000000    0.000000  
  0.62568204    -19.48049000    0.000000    0.000000    -19.48049000    0.000000    0.000000  
  0.62841147    -19.48772700    0.000000    0.000000    -19.48772700    0.000000    0.000000  
  0.63114088    -19.49333300    0.000000    0.000000    -19.49333300    0.000000    0.000000  
  0.63387030    -19.49735100    0.000000    0.000000    -19.49735100    0.000000    0.000000  
  0.63659971    -19.49974700    0.000000    0.000000    -19.49974700    0.000000    0.000000  
  0.63932913    -19.50055000    0.000000    0.000000    -19.50055000    0.000000    0.000000  

# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.00000000    -7.60485700    0.000000    0.000000    -7.60485700    0.000000    0.000000  
  0.00236374    -7.60413700    0.000000    0.000000    -7.60413700    0.000000    0.000000  
  0.00472749    -7.60197900    0.000000    0.000000    -7.60197900    0.000000    0.000000  
  0.00709124    -7.59838200    0.000000    0.000000    -7.59838200    0.000000    0.000000  
  0.00945498    -7.59334600    0.000000    0.000000    -7.59334600    0.000000    0.000000  
  0.01181872    -7.58687100    0.000000    0.000000    -7.58687100    0.000000    0.000000  
  0.01418247    -7.57895900    0.000000    0.000000    -7.57895900    0.000000    0.000000  
  0.01654621    -7.56961100    0.000000    0.000000    -7.56961100    0.000000    0.000000  
  0.01890996    -7.55882500    0.000000    0.000000    -7.55882500    0.000000    0.000000  
  0.02127370    -7.54660600    0.000000    0.000000    -7.54660600    0.000000    0.000000  
  0.02363744    -7.53295200    0.000000    0.000000    -7.53295200    0.000000    0.000000  
  0.02600119    -7.51786500    0.000000    0.000000    -7.51786500    0.000000    0.000000  
